advies_element_id,type,case,n_codeurs,codeur_oordelen,meerderheid,consensus,fijn_label
PD-16529,probleemdefinitie,2349__2336,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
PD-15116,probleemdefinitie,2021__2002,3,afgewezen|afgewezen|afgewezen,afgewezen,unaniem,afgewezen
AANB-17186,aanbeveling,5137__5042,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
AANB-24057,aanbeveling,10817__10818,3,procedureel|procedureel|procedureel,procedureel,unaniem,procedureel_doorgezet
PD-6403,probleemdefinitie,8114__10994,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
PD-14866,probleemdefinitie,1916__1892,3,procedureel|procedureel|retorisch,procedureel,meerderheid,procedureel_doorgezet
PD-16674,probleemdefinitie,2578__2552,3,afgewezen|afgewezen|afgewezen,afgewezen,unaniem,afgewezen
AANB-2793,aanbeveling,1866__1853,3,procedureel|retorisch|retorisch,retorisch,meerderheid,procedureel_doorgezet
AANB-17097,aanbeveling,4974__4768,3,procedureel|procedureel|procedureel,procedureel,unaniem,uitgesteld_voor_later_besluit
PD-20579,probleemdefinitie,9644__9610,3,afgewezen|afgewezen|afgewezen,afgewezen,unaniem,afgewezen
PD-16375,probleemdefinitie,1942__1895,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-6647,aanbeveling,10096__11121,3,retorisch|niet_behandeld|niet_behandeld,niet_behandeld,meerderheid,niet_herkenbaar_verwerkt
PD-12576,probleemdefinitie,2292__2275,3,afgewezen|afgewezen|afgewezen,afgewezen,unaniem,afgewezen
PD-13069,probleemdefinitie,2691__2663,3,procedureel|procedureel|procedureel,procedureel,unaniem,uitgesteld_voor_later_besluit
AANB-3927,aanbeveling,1591__1546,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
PD-2677,probleemdefinitie,18__10917,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-11746,aanbeveling,8798__8863,3,procedureel|procedureel|procedureel,procedureel,unaniem,procedureel_doorgezet
PD-7754,probleemdefinitie,8770__8831,3,retorisch|retorisch|retorisch,retorisch,unaniem,gekoppeld_aan_bestaand_beleid
PD-1606,probleemdefinitie,1858__1838,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-14604,aanbeveling,7846__7939,3,procedureel|substantieel|substantieel,substantieel,meerderheid,gedeeltelijk_overgenomen
PD-6408,probleemdefinitie,8114__8746,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-6457,aanbeveling,9979__10981,3,retorisch|retorisch|niet_behandeld,retorisch,meerderheid,erkend_zonder_actie
AANB-12252,aanbeveling,9237__9208,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
AANB-27211,aanbeveling,10809__10929,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
PD-11597,probleemdefinitie,10850__10851,3,retorisch|substantieel|substantieel,substantieel,meerderheid,gedeeltelijk_overgenomen
PD-23023,probleemdefinitie,8003__8261,3,niet_behandeld|niet_behandeld|niet_behandeld,niet_behandeld,unaniem,niet_herkenbaar_verwerkt
AANB-19047,aanbeveling,2613__2592,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
PD-11989,probleemdefinitie,5892__11113,3,niet_behandeld|niet_behandeld|niet_behandeld,niet_behandeld,unaniem,niet_herkenbaar_verwerkt
PD-2114,probleemdefinitie,10797__10925,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
PD-9509,probleemdefinitie,7306__11021,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
PD-1725,probleemdefinitie,1914__1901,3,retorisch|retorisch|niet_behandeld,retorisch,meerderheid,gekoppeld_aan_bestaand_beleid
AANB-16535,aanbeveling,10822__10823,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
PD-6728,probleemdefinitie,8139__8939,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-12860,aanbeveling,6640__10952,3,procedureel|substantieel|substantieel,substantieel,meerderheid,gedeeltelijk_overgenomen
PD-12088,probleemdefinitie,6267__6215,3,procedureel|procedureel|procedureel,procedureel,unaniem,procedureel_doorgezet
AANB-17591,aanbeveling,6240__6153,3,procedureel|procedureel|procedureel,procedureel,unaniem,procedureel_doorgezet
AANB-6664,aanbeveling,10083__10035,3,retorisch|retorisch|retorisch,retorisch,unaniem,erkend_zonder_actie
PD-13557,probleemdefinitie,3086__3081,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
PD-13193,probleemdefinitie,2802__2792,3,retorisch|niet_behandeld|retorisch,retorisch,meerderheid,erkend_zonder_actie
AANB-23327,aanbeveling,2555__2538,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-24144,aanbeveling,5543__5497,3,niet_behandeld|niet_behandeld|niet_behandeld,niet_behandeld,unaniem,niet_herkenbaar_verwerkt
PD-9599,probleemdefinitie,7589__10989,3,niet_behandeld|niet_behandeld|niet_behandeld,niet_behandeld,unaniem,niet_herkenbaar_verwerkt
PD-23069,probleemdefinitie,10809__10929,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-14974,aanbeveling,8020__8373,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-18481,aanbeveling,2364__2328,3,procedureel|procedureel|procedureel,procedureel,unaniem,uitgesteld_voor_later_besluit
AANB-12442,aanbeveling,9345__10972,3,afgewezen|niet_behandeld|afgewezen,afgewezen,meerderheid,afgewezen
AANB-2707,aanbeveling,1858__1838,3,procedureel|procedureel|procedureel,procedureel,unaniem,uitgesteld_voor_later_besluit
AANB-3810,aanbeveling,1521__1510,3,procedureel|procedureel|procedureel,procedureel,unaniem,procedureel_doorgezet
PD-8600,probleemdefinitie,9585__9531,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
AANB-3315,aanbeveling,1998__1954,3,afgewezen|afgewezen|afgewezen,afgewezen,unaniem,afgewezen
AANB-15076,aanbeveling,8032__8332,3,substantieel|procedureel|substantieel,substantieel,meerderheid,gedeeltelijk_overgenomen
PD-9990,probleemdefinitie,7982__8241,3,substantieel|niet_behandeld|niet_behandeld,niet_behandeld,meerderheid,niet_herkenbaar_verwerkt
PD-10245,probleemdefinitie,8020__8373,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
PD-8604,probleemdefinitie,9585__9531,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
AANB-12681,aanbeveling,9553__9480,3,retorisch|retorisch|retorisch,retorisch,unaniem,gerelativeerd
AANB-18701,aanbeveling,2497__2472,3,retorisch|retorisch|niet_behandeld,retorisch,meerderheid,gerelativeerd
PD-2789,probleemdefinitie,248__10926,3,procedureel|procedureel|procedureel,procedureel,unaniem,procedureel_doorgezet
AANB-17732,aanbeveling,6267__6211,3,afgewezen|afgewezen|afgewezen,afgewezen,unaniem,afgewezen
PD-13173,probleemdefinitie,2790__2759,3,substantieel|substantieel|substantieel,substantieel,unaniem,gedeeltelijk_overgenomen
PD-13853,probleemdefinitie,10816__10815,3,substantieel|substantieel|substantieel,substantieel,unaniem,overgenomen
AANB-18505,aanbeveling,2381__2360,3,procedureel|procedureel|procedureel,procedureel,unaniem,uitgesteld_voor_later_besluit
PD-14131,probleemdefinitie,10799__10927,3,procedureel|procedureel|procedureel,procedureel,unaniem,procedureel_doorgezet
PD-6210,probleemdefinitie,10871__10872,3,niet_behandeld|niet_behandeld|niet_behandeld,niet_behandeld,unaniem,niet_herkenbaar_verwerkt
