deelvraag,bestand,bronpad,peildatum,scope,rijen,status,toelichting
DV2,02_dv2_validatie/04_stabiliteit_public/adviesextractie_test_hertest_stability_data.csv,thesis/Analyse/DV2_validatie_bronnen/09_adviesextractie_reliability_test_hertest/adviesextractie_test_hertest_stability_data.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",12,public,Adviesextractie-stabiliteit; origineel is puntkomma-CSV.
DV2,02_dv2_validatie/04_stabiliteit_public/field_severity_summary.csv,thesis/Analyse/DV2_validatie_bronnen/08_classificatie_metadata_reproduceerbaarheid_20260507/field_severity_summary.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",9,public,Geaggregeerde veldstabiliteit zonder ruwe runredeneringen.
DV2,02_dv2_validatie/05_traceerbaarheid/kabinetsreactie_trace_associatie.csv,thesis/Analyse/DV2_validatie_bronnen/10_niveau2_classmeta_missingness_frozen_20260605/kabinetsreactie_trace_associatie.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",2,public,Traceerbaarheid en type-label-associatie voor kabinetsreactieanalyse.
DV2,02_dv2_validatie/06_college_effect/college_effect_groen_oranje.csv,thesis/Analyse/data/college_effect_groen_oranje.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",139,public,Per-college groen/oranje/rood-meetkwaliteitssamenvatting.
DV2,02_dv2_validatie/04_stabiliteit_public/confidence_consistency.csv,thesis/Analyse/DV2_validatie_bronnen/08_classificatie_metadata_reproduceerbaarheid_20260507/confidence_consistency.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",200,public,Publieke numerieke confidence-stabiliteit; geen runredenering.
DV2,02_dv2_validatie/04_stabiliteit_public/document_status_matrix.csv,thesis/Analyse/DV2_validatie_bronnen/08_classificatie_metadata_reproduceerbaarheid_20260507/document_status_matrix.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",100,public,Documentstatusmatrix voor stabiliteit; geen vrije bewijsvelden.
DV3,03_dv3_verwerking/collegetype_verdeling_6.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/collegetype_verdeling_6.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",3,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/cramers_statistiek.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/cramers_statistiek.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",2,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/dimensie_opvolging.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/dimensie_opvolging.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",14,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/dimensie_positie.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/dimensie_positie.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",16,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/gevoeligheid.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/gevoeligheid.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",6,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/meetkwaliteit.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/meetkwaliteit.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",3,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/metadata_inscope.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/metadata_inscope.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",5,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/verdeling_11.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/verdeling_11.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",11,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/verdeling_6.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/verdeling_6.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",6,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/verdeling_per_type_11.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/verdeling_per_type_11.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",22,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
DV3,03_dv3_verwerking/verdeling_per_type_6.csv,thesis/Analyse/DV2_validatie_bronnen/11_dv3_verwerking_171_frozen_20260605/verdeling_per_type_6.csv,2026-06-05,"171-Kaderwet-scope, Nederlandstalig waar relevant",12,public,Finale bevroren DV3-resultaat-CSV uit bundel 11; noemer 15.368 elementen / 482 reacties / 400 adviezen.
